Title,Company,Location,Salary
Store Associate (Mill Valley) Now starting at $22.00/hr.,In-N-Out Burger,"798 Redwood Hwy Frontage Rd, Mill Valley, CA 94941",23.75
Warehouse Associate,Universal Electrical Supply,"169 E Brokaw Rd, San Jose, CA 95112",22.0
Scheduler - Evening and/or Weekends,QuickMD,California,18.0
Freelance - Game Tester - Novato,Good Gamer Group,"Good Gamer Group in Novato, CA 94945",100.0
Dental office receptionist,Thomas Family Dentistry,"9197 Greenback Lane, Orangevale, CA 95662",21.0
Events and Marketing Coordinator,Paskenta Band of Nomlaki Indians,"22580 Olivewood Rd, Corning, CA 96021",26.0
Appointment Clerk,Kaiser Permanente,"Bakersfield, CA",24.18
Front Office Coordinator,Confidential,"Newport Beach, CA 92660",24.5
Customer Service Representative,CVS Health,"Sacramento, CA",23.44
Busser,Sam's Sushi,"79485 Highway 111, La Quinta, CA 92253",16.0
Transportation Coordinator,Ramsey Express Trucking Inc.,"1203 N Gertrude Ave, Stockton, CA 95215",22.5
Appointment Clerk,Kaiser Permanente,"Bakersfield, CA",24.18
Crew,AMC Theatres,"2015 Birch Road, Chula Vista, CA 91915",17.1
Cashier,Valley View Casino & Hotel,"16300 Nyemii Pass Road, Valley Center, CA 92082",17.5
Customer Service Representative,CVS Health,"Sacramento, CA",23.44
"Executive Assistant, DEI (NorAm, Pipeline Programs)",Warner Bros Careers,"Burbank, CA",35.31
Cannabis Grower,Nuovo Elite Work Solutions,"22200 Yerba Blvd, California City, CA 93505",21.5
Caregiver - SNAH Caregivers Community,Christian Career Fit,"Beverly Hills, CA",47.5
"Retail Scan Associate - (Oceanside, CA 92056)",ScanScape,"Oceanside, CA 92055",18.0
Registrar,Riverside Community Hospital,"4445 Magnolia Ave, Riverside, CA 92501",24.04
Cashier,Valley View Casino & Hotel,"16300 Nyemii Pass Road, Valley Center, CA 92082",17.5
100% Remote - Full Desk Agency Recruiter,CyberCoders,"Los Angeles, CA 90034",65.1
Crew,Trader Joe's,"6401 Haven Ave, Rancho Cucamonga, CA 91737",21.5
Customer Support Representative,Fieldguide,California,37.76
Uncapped Games - Production Assistant,Tencent,"Los Angeles, CA",53.42
Human Resources Clerk ll,"City of Livermore, CA","Livermore, CA",45.84
Manufacturing Assembler 2nd Shift,APR Consulting Inc,"Goleta, CA 93117",33.71
Care Coordinator,Tandem Care,"California, CA",29.0
Customer Onboarding Consultant,Fieldguide,California,57.29
General Winery Worker - Soledad,The Wine Group,"1777 Metz Rd, Soledad, CA 93960",18.5
"Broista - Wasco, CA",Dutch Bros,"1500 Highway 46, Wasco, CA 93280",19.0
Service Worker I,St Josephs Medical Center,"Stockton, CA 95204",28.02
Air Pollution Specialist Community Monitoring,California Air Resources Board,"4001 Iowa Ave, Riverside, CA 92521",51.67
Manufacturing Assembler 2nd Shift,APR Consulting Inc,"Goleta, CA 93117",33.71
Packager I - AID,Werfen,"9900 Old Grove Road, San Diego, CA 92131",21.59
Grievance & Appeals Coordinator I,Health Net,California,24.69
Retail Associates,Hobby Lobby,"1750 West Lacey Boulevard, Hanford, CA 93230",16.5
Summer Analyst,"MANATT, PHELPS & PHILLIPS LLP","Los Angeles, CA",68.75
Intake Specialist,Focus Health,"4643 Quail Lakes Dr, Stockton, CA 95207",31.0
Administrative Assistant I,California Air Resources Board,"1001 I Street, Sacramento, CA 95814",33.12
Front Desk Campus Host - M-F and Weekend Shifts Available!,Academy of Art University,"79 New Montgomery, San Francisco, CA 94105",19.5
Customer Care Analyst,Workday,"6110 Stoneridge Mall Rd, Pleasanton, CA",49.17
Data Entry,AppleOne,"Los Angeles, CA 90067",21.35
Cannabis Packager,CannaCruz,"11500 Dolan Rd, Moss Landing, CA 95039",17.0
People & Culture Partner,Warner Bros Careers,"Culver City, CA",53.75
Executive Assistant: JC-408419,California Air Resources Board,"4001 Iowa Ave, Riverside, CA 92507",29.02
Warehouse Hourly Position-Paramount,Kroger,"14900 Garfield Avenue, Paramount, CA 90723",27.36
Hotel Front Desk Agent,Stanford University,"Stanford, CA",25.72
Awards Assistant,Warner Bros Careers,"Culver City, CA",31.25
Customer Contact Center Associate,California Public Employees' Retirement System (CalPERS),"Sacramento, CA",39.99
Maintenance Assistant,PG&E Corporation,"Avenal, CA 93204",34.53
Amazon DSP - Looking for Delivery Drivers - $19.50,Amazon DSP,"San Diego, CA",24.38
"Packaging - Leadperson, Multi Line, Indirect",Oil-Dri Corporation of America,"PO Box 1277, Taft, CA 93268",30.79
Social Media Coordinator,Bloom Network,California,21.73
MOTOR VEHICLE REPRESENTATIVE,Department of Motor Vehicles,"Sacramento County, CA",27.02
Receptionist I - Concierge,Sutter Health,"1253 West I Street, Los Banos, CA 93635",24.81
Garbage Collector (Class C),Tahoe Truckee Sierra Disposal,"900 Cabin Creek Rd, Truckee, CA 96161",25.0
Store Associate - All Bay Area Stores,Aritzia,California,25.0
"Analyst, Global Planning (Vans)",Vans,"Costa Mesa, CA 92626",42.19
Payroll Processor (Remote),Vestis,"Burbank, CA 91502",27.65
Food Service Worker IV - Storekeeper,Stanford University,"Stanford, CA",30.69
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Communications Associate,Stanford University,"Stanford, CA",37.5
Cashier,Valley View Casino & Hotel,"16300 Nyemii Pass Road, Valley Center, CA 92082",17.5
Refinery Laborer,Kern Energy,"7724 East Panama Lane, Bakersfield, CA 93307",22.47
Butler / Personal Assistant,"Excellence Services, LLC","Atherton, CA",67.71
Cashier - $24-$32/hour,Zareen's restaurant - A Michelin Restaurant,"Palo Alto, CA",28.0
Administrative Assistant II,Sutter Health,"Antioch, CA",35.34
Meatcutter,US Defense Commissary Agency,"Edwards AFB, CA",29.37
Gardener - Full Time,Disney,"Anaheim, CA",28.2
Student Services Officer,Stanford University,"Stanford, CA",41.41
Garbage Collector (Class C),Tahoe Truckee Sierra Disposal,"900 Cabin Creek Rd, Truckee, CA 96161",25.0
"Executive Assistant, DEI (Creative, Production & Workforce Strategy)",Warner Bros Careers,"Burbank, CA",35.32
"Procedure Scheduler, OR/Same Day Surgery",Sutter Health,"Tracy, CA",31.53
Driver,Hertz,"San Jose, CA",20.36
Junior Publicist,Warner Bros Careers,"Burbank, CA",45.69
Housekeeper,Sutter Health,"Antioch, CA",29.44
Cashier,Valley View Casino & Hotel,"16300 Nyemii Pass Road, Valley Center, CA 92082",17.5
Overnight Inbound (Stocking),TARGET,"39440 10th St W, Palmdale, CA 93551",17.0
Citrus Packer/Empacador de Fruta (Day Shift/Dia),Moonlight Companies,"Reedley, CA 93654",16.0
Administrative Assistant,"City of Malibu, CA","Malibu, CA",38.04
Claims clerk,West Valley Staffing Group,"San Jose, CA",26.5
Lab Glassware Washer (Monday-Friday) - 1 Year Fixed Term,Stanford University,"Stanford, CA",26.05
Amazon DSP - Looking for Delivery Drivers - $19.50,Amazon DSP,"San Diego, CA",24.38
Stable Hand,Stanford University,"Stanford, CA",23.07
OFFICE TECHNICIAN (TYPING),Department of Justice,"Los Angeles County, CA",25.4
"MANAGER I, DEPARTMENT OF MOTOR VEHICLES",Department of Motor Vehicles,"Orange County, CA",33.59
Bottle Service Waitress,Pluto LA,"6100 Wilshire Boulevard, Los Angeles, CA 90048",25.0
JD Admissions File Reader,Loyola Marymount University,"One Lmu Drive, Los Angeles, CA 90045",27.5
PAINTER-FULLTIME!,"Wolfe & Associates, Property Services","173 Chapel Street, Santa Barbara, CA 93111",25.0
JD Admissions File Reader,Loyola Marymount University,"One Lmu Drive, Los Angeles, CA 90045",27.5
Laboratory Assistant 2,Stanford University,"Stanford, CA",29.32
Front Desk Agent,BEST WESTERN CALIFORNIA CITY,"10386 California City Boulevard, California City, CA 93505",15.5
Warehouse Worker,FedEx Supply Chain,"Rialto, CA",19.75
International Reservation & Ticketing Agent,Ultimate Vacations,California,16.0
WATER SERVICE HELPER I - ANTELOPE VALLEY,Los Angeles County Department of Human Resources,"Los Angeles County, CA",29.72
"Production Operator, $21-$30/HR.",Coca-Cola,"Ontario, CA 91761",25.5
Relief Food Service Worker (Multiple Openings),Stanford Health Care,"500 Pasteur Drive, Palo Alto, CA 94305",29.57
Food Service Worker,Sutter Health,"Auburn, CA 95602",23.89
People & Culture Partner,Warner Bros Careers,"Burbank, CA",53.75
Secretary,Downey Unified School District,"Downey, CA",32.35
Garbage Collector (Class C),Tahoe Truckee Sierra Disposal,"900 Cabin Creek Rd, Truckee, CA 96161",25.0
Administrative Associate 2,Stanford University,"Stanford, CA",31.97
Signal Apprentice - Needles CA,BNSF Railway,"Needles, CA 92363",34.34
Associate Talent Acquisition Business Partner/Talent Acquisition Business Partner (Remote),Northrop Grumman,California,35.26
"Assistant, Business Intelligence Strategy",Warner Music Group,"Los Angeles, CA",19.98
Warehouse Material Handler,Riverside Community Hospital,"4445 Magnolia Ave, Riverside, CA 92501",21.0
Communication Operator (Part-time),Kaiser Permanente,"Santa Clara, CA",31.14
Case Manager (Aging and Family Services),City of Fremont,"3300 Capitol Ave # B, Fremont, CA 94538",49.59
Garbage Collector (Class C),Tahoe Truckee Sierra Disposal,"900 Cabin Creek Rd, Truckee, CA 96161",25.0
Fashion Designer,Silent Sister,"9237 West Flicker Way, Los Angeles, CA 90069",28.12
Package Handler - Part & Full Time (Warehouse like),FedEx Ground PH US,"11688 Greenstone Ave, Santa Fe Springs, CA 90670",19.0
Packager,Children’s Dental Care,"Stockton, CA",21.34
"Producer, Gaming",MOCEAN,"Los Angeles, CA 90064",57.29
Mental Health Receptionist,Beloved Ones,"California City, CA 93505",28.65
"TEAM LEAD, OPERATIONS",Louis Vuitton,"Palm Desert, CA",29.0
Team Assistant,Anthropic,"San Francisco, CA",85.94
Registration and Scheduler,Sutter Health,"Mountain View, CA",30.62
Garbage Collector (Class C),Tahoe Truckee Sierra Disposal,"900 Cabin Creek Rd, Truckee, CA 96161",25.0
Food Assistant,Sutter Health,"2050 Blue Oaks Blvd, Roseville, CA 95747",25.89
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Administrative Assistant,Intuitive Surgical,"950 Kifer Road, Sunnyvale, CA",45.36
Security Reporting Analyst (Remote),Manufacturers Bank,"515 S Figueroa St Ste 400, Los Angeles, CA 90071",44.79
Butler / Personal Assistant,"Excellence Services, LLC","Atherton, CA",67.71
Student Support Specialist,Calbright College,California,31.87
Budtender: Cannabis Retail,Cannable Madera,"313 E Yosemite Ave, Madera, CA 93638",20.25
Entry Level Business Analyst,FXG Management,"FXG Management in San Francisco, CA 94114",27.5
Registration Clerk,Sutter Health,"Auburn, CA 95602",27.46
Garbage Collector (Class C),Tahoe Truckee Sierra Disposal,"900 Cabin Creek Rd, Truckee, CA 96161",25.0
Entry Level - Police Officer Recruit,LAPD,"Los Angeles, CA",53.02
Faculty Affairs Administrator 1,Stanford University,"Stanford, CA",33.17
Standardized Patients,UCLA Health,"Los Angeles, CA 90095",30.0
Cheese Packaging Tail Off - 3rd Shift,Saputo Inc.,"Tulare, CA",25.96
Fundamental Research Associate (Equities),Capital Group Companies,"San Francisco, CA",93.56
Cannabis Agricultural Worker,Grow Op Farms,"Greenfield, CA",17.0
Trial Department Assistant,Kimball Tirey & St John LLP,"2300 Clayton Road, Concord, CA 94520",27.0
Vegetation Management Inspector,PG&E Corporation,"Bakersfield, CA 93313",39.28
Bookseller - PT,Barnes & Noble,"3600 Stevens Creek Blvd, San Jose, CA 95117",17.0
Research Assistant,Stanford University,"Stanford, CA",31.25
Spreen Honda/Mazda Customer Service,Spreen Honda/Mazda,"Spreen Honda/Mazda in Loma Linda, CA 92354",42.5
Patient Access Representative,Sutter Health,"Davis, CA",32.93
Remote Customer Service Representative,Road Runner Sports,"5549 Copley Dr, San Diego, CA 92111",16.0
"Staff Writer, Los Angeles - The Infatuation",JPMorgan Chase & Co,"Apple Valley, CA 92308",36.17
"Warehouse Worker Part Time Flex, Night Shift",Cardinal Health,"Elk Grove, CA 95758",21.9
OFFICE TECHNICIAN (TYPING),Department of Parks & Recreation,"Los Angeles County, CA",25.4
Butler / Personal Assistant,"Excellence Services, LLC","Atherton, CA",67.71
Administrative Associate 4,Stanford University,"Stanford, CA",43.27
Communications & Social Media Coordinator,Stanford University,"Stanford, CA",34.13
Macroeconomic Strategy and Research Analyst,California Public Employees' Retirement System (CalPERS),"400 Q Street, Sacramento, CA 95811",66.97
General Laborer,Intela Staffing LLC,"Rialto, CA 92376",17.0
Barista Full Time,Jaunt Coffee Roasters,"San Diego, CA 92126",29.5
Administrative Analyst I/II,City of Walnut Creek,"Walnut Creek, CA 94596",55.62
Garbage Collector (Class C),Tahoe Truckee Sierra Disposal,"900 Cabin Creek Rd, Truckee, CA 96161",25.0
Distribution Center Warehouse Supervisor,Ross Stores,"Shafter, CA 93263",36.9
Executive Assistant,Adobe,"San Jose, CA 95110",59.24
Clean Transportation Outreach Specialist,California Air Resources Board,California,51.67
988 Crisis Counselor Bilingual Spanish,Didi Hirsch Mental Health Services,"Los Angeles, CA 90067",26.0
Storekeeper II (On-Call),Kaiser Permanente,"Modesto, CA",33.85
Customer Care Representative I,Elevance Health,"Cerritos, CA",21.19
Door Greeter,Four Seasons,"Los Angeles, CA",22.61
100% Remote - Full Desk Agency Recruiter,CyberCoders,"Los Angeles, CA 90034",65.1
Butler / Personal Assistant,"Excellence Services, LLC","Atherton, CA",67.71
Recovery Companion,Driven Concepts Consulting,"Driven Concepts Consulting in Newport Beach, CA 92660",30.0
Front Desk Receptionist,"Marriott International, Inc","9040 West Sunset Boulevard, West Hollywood, CA 90069",27.0
Assistant Claims Manager,State Compensation Insurance Fund,California,48.45
Early Education Center Aide I,Los Angeles Unified School District,"333 South Beaudry Avenue, Los Angeles, CA 90017",23.56
Packager & Delivery Driver,"High Caliber Organics, Inc.","High Caliber Organics, Inc. in Adelanto, CA 92301",17.0
Early Education Center Aide I,Los Angeles Unified School District,"333 South Beaudry Avenue, Los Angeles, CA 90017",23.56
Packager & Delivery Driver,"High Caliber Organics, Inc.","High Caliber Organics, Inc. in Adelanto, CA 92301",17.0
"Clinical Quality Coder, Work from home",Sutter Health,"Sunnyvale, CA",32.28
Scheduler,Altais,California,20.0
Data Clerk - (LAC),Amity Foundation,"Lancaster, CA 93536",20.5
Online Order Filler / Personal Shopper - In Store (#5644),Walmart,"16555 Von Karman Avenue, Irvine, CA 92606",20.0
Construction Worker,Lucky Construction Inc,"Mendocino County, CA",26.5
System Operations Specialist - USDS,TikTok,"Mountain View, CA 94041",36.5
Data Entry,"County of Alameda, TAP Program","1405 Lakeside Dr, Oakland, CA 94612",26.42
QA Tester,Nexon America Inc,"El Segundo, CA 90245",21.0
